"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico","10","0100001.01,…,3299999.99"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico","13","0100001.01.01,…,3299999.99.99"
"Identificador del informante seleccionado","ID_PER","Alfanumérico","16","0100001.01.01.01,…,3299999.99.99.30"
"Control de vivienda (UPM)","UPM","Carácter","7","0100001,…,3299999"
"Vivienda seleccionada","VIV_SEL","Carácter","2","01,…,99"
"Control del hogar","HOGAR","Carácter","2","01,…,06"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico","1","A"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico","1","B"
"Número de renglón de la persona seleccionada","R_SEL","Carácter","2","01,…,30"
"Sexo","SEXO","Numérico","1","1"
"Sexo","SEXO","Numérico","1","2"
"Edad","EDAD","Numérico","2","18,…,96"
"Edad","EDAD","Numérico","2","97"
"Edad","EDAD","Numérico","2","98"
"Área Urbana de Interés","AREAM","Carácter","2","01"
"Área Urbana de Interés","AREAM","Carácter","2","02"
"Área Urbana de Interés","AREAM","Carácter","2","03"
"Área Urbana de Interés","AREAM","Carácter","2","04"
"Área Urbana de Interés","AREAM","Carácter","2","05"
"Área Urbana de Interés","AREAM","Carácter","2","06"
"Área Urbana de Interés","AREAM","Carácter","2","07"
"Área Urbana de Interés","AREAM","Carácter","2","08"
"Área Urbana de Interés","AREAM","Carácter","2","09"
"Área Urbana de Interés","AREAM","Carácter","2","10"
"Área Urbana de Interés","AREAM","Carácter","2","12"
"Área Urbana de Interés","AREAM","Carácter","2","13"
"Área Urbana de Interés","AREAM","Carácter","2","14"
"Área Urbana de Interés","AREAM","Carácter","2","15"
"Área Urbana de Interés","AREAM","Carácter","2","16"
"Área Urbana de Interés","AREAM","Carácter","2","17"
"Área Urbana de Interés","AREAM","Carácter","2","18"
"Área Urbana de Interés","AREAM","Carácter","2","19"
"Área Urbana de Interés","AREAM","Carácter","2","21"
"Área Urbana de Interés","AREAM","Carácter","2","24"
"Área Urbana de Interés","AREAM","Carácter","2","25"
"Área Urbana de Interés","AREAM","Carácter","2","26"
"Área Urbana de Interés","AREAM","Carácter","2","27"
"Área Urbana de Interés","AREAM","Carácter","2","28"
"Área Urbana de Interés","AREAM","Carácter","2","29"
"Área Urbana de Interés","AREAM","Carácter","2","31"
"Área Urbana de Interés","AREAM","Carácter","2","32"
